food_id,food_name,genus,species,food_group,food_subgroup
516,Wild Rice,Zizania,,Cereals and cereal products,Cereals
517,Tealeaf Willow,Salix,pulchra,Herbs and Spices,Herbs
518,Winged Bean,Psophocarpus,tetragonolobus,Pulses,Beans
519,Yam,Dioscorea,,Vegetables,Tubers
520,Jicama,Pachyrhizus,erosus,Vegetables,Root vegetables
521,Arrowleaf Elephant's Ear,Xanthosoma,sagittifolium,Vegetables,Leaf vegetables
522,Yellowfin Tuna,Thunnus,albacares,Aquatic foods,Fishes
523,Yellowtail Amberjack,Seriola,lalandi,Aquatic foods,Fishes
524,Pollock,Pollachius,,Aquatic foods,Fishes
525,Albacore Tuna,Thunnus,alalunga,Aquatic foods,Fishes
526,Cod,Gadus,,Aquatic foods,Fishes
527,Atlantic Halibut,Hippoglossus,hippoglossus,Aquatic foods,Fishes
528,Pacific Halibut,Hippoglossus,stenolepis,Aquatic foods,Fishes
529,Pacific Salmon,Oncorhynchus,,Aquatic foods,Fishes
533,Snow Crab,Chionoecetes,opilio,Aquatic foods,Crustaceans
534,Black-eyed Pea,Vigna,unguiculata,Pulses,Peas
536,Macadamia Nut,Macadamia,,Nuts,Nuts
541,Domestic Goat,Capra,hircus,Animal foods,Caprae
542,Beefalo,,Bos taurus x Bison bison,Animal foods,Bovines
549,Domestic Pig,Sus,scrofa,Animal foods,Swine
550,Walrus,Odobenus,rosmarus,Aquatic foods,Pinnipeds
551,Alpine Knotweed,Koenigia,alpina,Vegetables,Stalk vegetables
552,Khorasan Wheat,Triticum,turgidum,Cereals and cereal products,Cereals
553,Chinese Long Bean,Vigna,unguiculata,Pulses,Peas
557,Persian Lime,Citrus,Citrus x latifolia,Fruits,Citrus
558,Feijoa,Acca,sellowiana,Fruits,Tropical fruits
560,Jelly Ear,Auricularia,auricula-judae,Vegetables,Mushrooms
561,Portobello,Agaricus,bisporus,Vegetables,Mushrooms
562,Shiitake,Lentinula,edodes,Vegetables,Mushrooms
564,Wakame,Undaria,pinnatifida,Aquatic foods,Seaweed
565,Enoki,Flammulina,velutipes,Vegetables,Mushrooms
566,Epazote,Dysphania,ambrosioides,Herbs and Spices,Herbs
567,Oyster Mushroom,Pleurotus,ostreatus,Vegetables,Mushrooms
568,Cloud Ear Fungus,Auricularia,polytricha,Vegetables,Mushrooms
569,Maitake,Grifola,frondosa,Vegetables,Mushrooms
570,Ostrich Fern,Matteuccia,struthiopteris,Vegetables,Leaf vegetables
571,Spot Croaker,Leiostomus,xanthurus,Aquatic foods,Fishes
572,Arctic Dock,Rumex,arcticus,Herbs and Spices,Herbs
574,Atlantic Menhaden,Brevoortia,tyrannus,Aquatic foods,Fishes
575,Wheat,Triticum,,Cereals and cereal products,Cereals
576,Common Chokecherry,Prunus,virginiana,Fruits,Drupes
577,Agave,Agave,,Vegetables,Other vegetables
578,Narrowleaf Cattail,Typha,angustifolia,Vegetables,Other vegetables
581,Blue Whiting,Micromesistius,poutassou,Aquatic foods,Fishes
582,Carp Bream,Abramis,brama,Aquatic foods,Fishes
583,Chanterelle,Cantharellus,cibarius,Vegetables,Mushrooms
585,Char,Salvelinus,,Aquatic foods,Fishes
586,Cinnamon,Cinnamomum,,Herbs and Spices,Spices
588,Common Dab,Limanda,limanda,Aquatic foods,Fishes
589,Spiny Dogfish,Squalus,acanthias,Aquatic foods,Fishes
595,Mountain Hare,Lepus,timidus,Animal foods,Lagomorphs
596,Lake Trout,Salvelinus,namaycush,Aquatic foods,Fishes
597,Lemon Sole,Microstomus,kitt,Aquatic foods,Fishes
602,Norway Haddock,Sebastes,viviparus,Aquatic foods,Fishes
603,Norway Lobster,Nephrops,norvegicus,Aquatic foods,Crustaceans
604,Norway Pout,Trisopterus,esmarkii,Aquatic foods,Fishes
605,Oil Palm,Elaeis,,Herbs and Spices,Oilseed crops
607,Sago Palm,Metroxylon,sagu,Herbs and Spices,Oilseed crops
608,Persimmon,Diospyros,,Fruits,Tropical fruits
609,Pikeperch,Sander,lucioperca,Aquatic foods,Fishes
611,Rock Ptarmigan,Lagopus,muta,Animal foods,Poultry
612,Pacific Ocean Perch,Sebastes,alutus,Aquatic foods,Fishes
616,Kombu,Saccharina,japonica,Aquatic foods,Seaweed
620,Thistle,Cirsium,,Vegetables,Root vegetables
621,Tuna,Thunnus,,Aquatic foods,Fishes
622,Walnut,Juglans,,Nuts,Nuts
